Date,District,Count
2021-06-07,Trincomalee,2343
2021-06-07,Monaragala,2104
2021-06-07,Polonnaruwa,1799
2021-06-07,Ampara,1478
2021-06-07,Kalmunai,1457
2021-06-07,Batticaloa,1532
2021-06-07,Vavuniya,1044
2021-06-07,Mullaitivu,908
2021-06-07,Kilinochchi,972
2021-06-07,Mannar,596
2021-06-08,Colombo,52644
2021-06-08,Gampaha,35518
2021-06-08,Kalutara,22512
2021-06-08,Kandy,11216
2021-06-08,Kurunagala,10377
2021-06-08,Galle,8881
2021-06-08,Ratnapura,8386
2021-06-08,Matara,4971
2021-06-08,Matale,4427
2021-06-08,Nuwara Eliya,4783
2021-06-08,Kegalle,3883
2021-06-08,Jaffna,3505
2021-06-08,Badulla,3691
2021-06-08,Puttalam,3104
2021-06-08,Anuradhapura,2944
2021-06-08,Hambantota,2629
2021-06-08,Trincomalee,2351
2021-06-08,Monaragala,2143
2021-06-08,Polonnaruwa,1823
2021-06-08,Ampara,1483
2021-06-08,Kalmunai,1477
2021-06-08,Batticaloa,1565
2021-06-08,Vavuniya,1071
2021-06-08,Mullaitivu,928
2021-06-08,Kilinochchi,976
2021-06-08,Mannar,596
2021-06-09,Colombo,53088
2021-06-09,Gampaha,36004
2021-06-09,Kalutara,22815
2021-06-09,Kandy,11272
2021-06-09,Kurunagala,10704
2021-06-09,Galle,8998
2021-06-09,Ratnapura,8469
2021-06-09,Matara,5041
2021-06-09,Matale,4458
2021-06-09,Nuwara Eliya,4930
2021-06-09,Kegalle,3936
2021-06-09,Jaffna,3684
2021-06-09,Badulla,3749
2021-06-09,Puttalam,3162
2021-06-09,Anuradhapura,3006
2021-06-09,Hambantota,2633
2021-06-09,Trincomalee,2363
2021-06-09,Monaragala,2154
2021-06-09,Polonnaruwa,1832
2021-06-09,Ampara,1485
2021-06-09,Kalmunai,1480
2021-06-09,Batticaloa,1593
2021-06-09,Vavuniya,1102
2021-06-09,Mullaitivu,935
2021-06-09,Kilinochchi,985
2021-06-09,Mannar,606
2021-06-10,Colombo,53667
2021-06-10,Gampaha,36405
2021-06-10,Kalutara,23082
2021-06-10,Kandy,11371
2021-06-10,Kurunagala,10851
2021-06-10,Galle,9118
2021-06-10,Ratnapura,8513
2021-06-10,Matara,5081
2021-06-10,Matale,4513
2021-06-10,Nuwara Eliya,5037
2021-06-10,Kegalle,4086
2021-06-10,Jaffna,3723
2021-06-10,Badulla,3804
2021-06-10,Puttalam,3215
2021-06-10,Anuradhapura,3034
2021-06-10,Hambantota,2695
2021-06-10,Trincomalee,2422
2021-06-10,Monaragala,2248
2021-06-10,Polonnaruwa,1844
2021-06-10,Ampara,1505
2021-06-10,Kalmunai,1489
2021-06-10,Batticaloa,1705
2021-06-10,Vavuniya,1107
2021-06-10,Mullaitivu,939
2021-06-10,Kilinochchi,1007
2021-06-10,Mannar,615
2021-06-11,Colombo,54065
2021-06-11,Gampaha,36992
2021-06-11,Kalutara,23474
2021-06-11,Kandy,11498
2021-06-11,Kurunagala,11090
2021-06-11,Galle,9155
2021-06-11,Ratnapura,8641
2021-06-11,Matara,5117
2021-06-11,Matale,4523
2021-06-11,Nuwara Eliya,5159
2021-06-11,Kegalle,4096
2021-06-11,Jaffna,3782
2021-06-11,Badulla,4069
2021-06-11,Puttalam,3265
2021-06-11,Anuradhapura,3071
2021-06-11,Hambantota,2721
2021-06-11,Trincomalee,2500
2021-06-11,Monaragala,2277
2021-06-11,Polonnaruwa,1852
2021-06-11,Ampara,1508
2021-06-11,Kalmunai,1491
2021-06-11,Batticaloa,1756
2021-06-11,Vavuniya,1107
2021-06-11,Mullaitivu,939
2021-06-11,Kilinochchi,1020
2021-06-11,Mannar,615
2021-06-12,Colombo,54575
2021-06-12,Gampaha,37554
2021-06-12,Kalutara,23790
2021-06-12,Kandy,11766
2021-06-12,Kurunagala,11246
2021-06-12,Galle,9197
2021-06-12,Ratnapura,8734
2021-06-12,Matara,5201
2021-06-12,Matale,4561
2021-06-12,Nuwara Eliya,5248
2021-06-12,Kegalle,4115
2021-06-12,Jaffna,3963
2021-06-12,Badulla,4134
2021-06-12,Puttalam,3313
2021-06-12,Anuradhapura,3099
2021-06-12,Hambantota,2725
2021-06-12,Trincomalee,2515
2021-06-12,Monaragala,2316
2021-06-12,Polonnaruwa,1872
2021-06-12,Ampara,1517
2021-06-12,Kalmunai,1512
